																																																																																									
Set	Cluster	ID	ionMz	Label	59.0137	71.0139	74.0249	85.0296	87.0086	88.0405	89.0245	101.0243	102.0562	109.0407	112.0518	113.0246	115.0038	117.0195	118.051	118.9807	122.0247	128.0355	129.0192	130.0506	130.0875	131.0355	131.0824	132.0303	133.014	135.0311	145.0144	145.0617	145.0984	146.0458	147.0297	147.0655	151.0403	152.0354	153.0173	154.062	165.0554	166.0506	166.9758	168.0663	171.0302	173.0095	173.0454	173.0711	179.0348	179.0561	184.0021	186.1139	211.0603	213.0145	218.1033	225.0991	237.0282	249.0552	251.0776	259.0227	266.0886	279.2331	307.0311	316.2857	317.2143	323.0277	338.9889	346.0558	347.0589	362.0509	365.0531	367.0185	388.9441	397.1319	401.0173	426.0221	441.3372	489.9937	505.9889	521.984	545.3994	604.0696	606.0744	611.144	664.117	665.2139	766.1076	784.1495	808.118
A	WT	31	0031 / pck1^ 1.2	pck1^	76258	1407	4878	1716	3546	1306	3072	1806	2016	1509	2011	6522	922	2703	54862	8087	1011	45671	2591	484	40215	2496	53320	14104	6450	5272	2159	46935	64507	91987	2020	6051	631	1643	4138	40954	2722	1819	1094	2974	492	2786	617	2025	1157	14893	26862	913	4814	1627	3101	2706	13591	3924	2470	64410	717	6868	1233	1543	4224	5509	81331	28893	4237	2816	1771	6082	1999	2623	2546	95272	4095	3516	133754	25861	19133	46258	71758	9457	6463	3082	4034	3147	6389
A	WT	32	0032 / pck1^ 1.2	pck1^	162776	4492	15703	4045	5623	2761	7750	5093	5663	9821	23931	16554	10184	9472	195560	20155	7514	166746	8210	2440	161869	2605	202274	85055	91490	14222	7791	154953	232523	507437	16912	14298	2850	3071	4033	143337	6190	2966	2174	3957	2742	9529	2245	4887	2799	29833	63178	695	6882	3141	7428	2814	29847	6491	3003	158958	1492	8933	2724	2300	1745	10343	163072	51773	8721	4515	2572	6739	3176	3853	2055	173824	8821	4272	229173	40637	24854	72155	95326	13392	10012	4468	6682	4371	8872
A	WT	33	0033 / pck1^ 1.2	pck1^	136340	4415	13878	4127	4381	2878	8006	4330	5275	11244	25178	20226	12445	9727	185493	24533	4920	161888	6559	1940	154003	2415	193917	84525	87757	15214	6870	141275	222012	505810	16975	12444	3299	4791	4491	134087	6005	3145	2015	4206	1695	8791	2340	4350	2069	26545	56836	1338	6591	3400	6045	2966	27776	4989	2588	153584	1483	8966	2723	2162	2845	10618	155565	48651	6422	4133	3525	6047	1768	2298	2642	157743	8059	4394	194915	31428	24155	67182	94922	12670	9225	2909	7346	3987	6550
A	WT	34	0034 / pck1^ 1.2	pck1^	75642	2787	6332	2525	3374	1704	4379	1969	2086	3790	9304	9275	3652	2786	72469	11191	1667	69592	4209	2335	66460	1606	102053	26389	19321	5802	3532	66111	126480	174745	5246	7548	2006	2782	2832	67602	3681	2100	620	2580	4424	4917	1675	3594	1529	17203	34381	1419	4046	3366	4134	1938	17353	3017	1848	84920	858	7303	1235	1647	1611	7106	107383	33195	5578	2100	2842	5167	1492	2704	2279	114504	6761	3627	165493	28109	19303	55179	72450	9847	7006	3379	5375	3492	5426
A	WT	35	0035 / pck1^ 1.2	pck1^	64252	1699	1970	683	2339	905	2709	1695	1299	2614	1950	5580	649	1465	49717	10594	591	39016	1220	1743	29516	2122	52269	12028	5236	4526	2252	38364	62915	71025	2990	5353	1984	1153	1930	34849	3916	1445	2312	3021	1999	3083	1346	2283	579	11760	24429	1032	4793	3129	2796	2760	11191	4780	1577	63134	1297	4862	1771	3217	2481	5904	81460	29737	4242	3035	2727	4523	1685	2835	1969	87906	5673	2431	131962	21252	18493	44748	67018	8662	6512	3428	5506	1925	5804
A	WT	36	0036 / pck1^ 1.2	pck1^	51118	1348	3247	1148	2758	700	2697	1170	727	843	2089	5077	1023	2412	33897	6360	427	29145	316	919	19761	340	37827	8784	3220	3822	1217	23304	41977	43105	2478	4039	778	649	2194	18955	2727	1574	2549	3325	2688	1566	375	1285	1017	9790	16469	2914	3605	435	2950	2147	9296	2770	1910	44409	502	5548	1848	2990	2655	5329	57874	22639	4531	2116	1682	4002	1997	2800	1330	73751	3374	2746	112863	18901	16548	40354	56646	8178	5760	2532	3897	2799	4405
A	WT	37	0037 / pck1^ 1.2	pck1^	65005	1300	4826	2862	2868	918	4107	2047	722	1870	8241	7306	785	1187	51357	9916	2067	47013	2287	812	42674	1734	81614	14244	9761	4321	1980	41891	107063	88389	2690	5792	1420	2570	2615	44478	2131	1689	1654	2443	1540	3109	922	3126	1487	14255	27204	1794	4836	2700	3386	2782	13538	5172	1858	72516	893	7575	1757	1578	1922	7259	85107	30421	4329	3365	2385	4016	1272	3857	2344	105976	5927	4062	146695	25524	18908	48576	67815	8427	8130	2877	4980	2444	4679
A	WT	38	0038 / pck1^ 1.2	pck1^	45247	1242	4769	1698	1345	1218	3179	2086	851	3086	4779	6120	1251	1304	38036	11496	1309	37018	1631	980	34980	1009	50957	11891	5665	4321	3467	33584	66407	77355	4879	5798	1516	1685	1061	27623	2600	868	938	3749	3442	2243	773	2138	914	10054	18912	286	4940	3714	2040	1568	10767	2458	3450	52766	1946	6481	1719	1222	2162	5870	57390	24633	4403	2334	1734	3730	1370	3073	1943	75599	4457	3290	99351	19415	12292	30664	49871	5970	5760	3044	3782	1931	3296
A	WT	39	0039 / pck1^ 1.2	pck1^	56138	1463	2568	1166	2383	789	3254	1177	1105	1766	2197	5298	673	1774	39707	5800	840	32069	1382	405	24723	1171	41436	11029	4062	2524	2782	26661	54692	51998	2165	3989	985	1383	1691	24191	3490	911	77	1527	1766	2789	784	1756	523	10248	18981	875	3899	3292	3018	1532	9199	4921	2630	53618	1044	5986	1816	1731	2341	5059	67871	25802	3275	2687	3695	4049	2626	2605	2084	78478	4554	2865	107789	18317	15731	38646	62182	8305	6174	2760	5500	3533	4494
A	WT	40	0040 / pck1^ 1.2	pck1^	63670	1063	4438	1991	1930	938	3054	1826	1114	857	3157	6156	1467	1934	51218	6600	707	42384	1646	89	33221	745	59146	11029	6986	4222	3252	39631	68147	74289	2052	4630	1685	1926	1613	35117	1722	653	1836	2196	1	3319	1729	4183	841	12521	27461	438	5546	1529	4304	1530	12374	3302	2759	65553	1965	6788	1206	3581	2919	5602	78335	30856	4484	2187	3765	4804	1550	2380	1819	92402	6099	2209	128796	21757	18604	44907	66995	6967	6755	2864	6000	4197	4034
A	WT	61	0061 / pck1^ 1.3	pck1^	75168	1701	4508	1120	2419	1590	1005	1070	478	1714	3045	4262	1668	1056	53437	5131	795	32449	2535	825	49190	950	52445	14154	11181	8183	2335	31954	20157	59647	2625	4104	1336	1149	1218	34629	2738	596	1160	2627	2208	4607	804	1437	919	7133	22423	2269	5729	1691	2870	2305	11904	4954	2370	102325	928	5523	1504	1921	1295	10340	82684	136806	16675	6703	4746	3758	2509	2220	2531	137140	5371	3839	79911	19510	18033	45840	125905	6261	30444	2613	6484	4025	5680
A	WT	62	0062 / pck1^ 1.3	pck1^	42530	735	3204	435	1699	605	1140	1520	677	1312	1919	1717	1344	639	31067	5254	339	20644	888	107	35226	304	39209	6915	3462	7971	2622	22006	17760	30806	2122	2825	1082	2505	3657	17664	2719	1369	670	2001	1303	3911	1004	2505	212	4265	14377	673	3740	2159	2352	2889	9475	4440	2123	70607	1693	5253	1457	1307	1501	8654	47813	95078	13037	5379	2797	4007	2226	1456	1548	85295	3078	3933	53761	12253	13105	28553	87919	5204	21963	2175	3905	3076	3991
A	WT	63	0063 / pck1^ 1.3	pck1^	84801	983	3862	1832	1846	1566	1392	833	737	1382	2263	3540	1763	464	50514	5104	435	32944	2512	540	40923	1430	47738	14076	12514	6683	1982	31570	18756	54771	3043	4806	1120	699	1556	37595	3824	796	816	2291	2141	5157	1478	2503	1082	6512	17281	2280	7596	1636	3213	2708	10257	4109	4155	98661	728	6285	1103	1804	2257	10148	82754	132313	18276	5225	3448	3497	1285	2778	2484	125360	4585	3243	66900	15896	20217	45101	130526	7009	32625	3630	7747	4481	6573
A	WT	64	0064 / pck1^ 1.3	pck1^	65095	1219	3262	790	1054	1429	1647	838	759	2114	2049	4171	1681	588	41830	4172	440	31340	1638	293	40881	282	54026	10838	5667	7192	2229	29750	19478	44770	2892	3540	1633	3285	1400	27842	3010	2156	1202	1539	4425	3902	946	2780	1149	6441	16610	3192	3614	2129	3197	2028	9988	4776	2906	89093	1537	5876	1880	1939	1612	9022	66779	111575	17305	8248	2361	2973	1080	2985	1803	117095	5587	5016	62697	16970	16000	34440	108738	5974	26770	2282	5299	3012	4451
